基线温度,实际HDD,预测HDD,HDD相对误差,实际价格,预测价格,价格相对误差,,,
0,114.13,0.00,100.00,38520.76,38321.36,0.50,,16.5,13.9
1,152.00,0.01,99.99,38520.76,38325.14,0.52,,2.6,30.4
2,194.00,5.67,97.08,38520.76,38315.36,0.52,,,
3,241.13,43.95,81.77,39613.16,39419.69,0.48,,,
4,294.00,96.68,67.12,40969.10,40770.43,0.50,,,
5,352.50,155.24,55.96,42472.18,42269.59,0.48,,6.77,
6,414.50,217.26,47.59,44064.66,43868.08,0.45,,0.19,
7,480.38,283.03,41.08,45755.09,45551.77,0.43,,,
8,550.63,353.34,35.83,47559.82,47363.94,0.41,,,
9,624.00,426.74,31.61,49444.49,49250.54,0.42,,,
10,698.75,501.38,28.25,51362.64,51164.26,0.39,,,
11,774.25,576.89,25.49,53301.73,53112.07,0.39,,,
12,853.13,655.92,23.12,55329.26,55130.96,0.37,,,
13,934.88,737.60,21.10,57427.67,57228.73,0.34,,,
14,1018.75,821.43,19.37,59581.06,59377.88,0.33,,,
15,1107.13,909.87,17.82,61851.42,61650.04,0.33,,,
16,1200.38,1003.07,16.44,64245.54,64042.96,0.30,,,
17,1297.50,1100.14,15.21,66739.02,66545.01,0.28,,,
18,1399.00,1201.48,14.12,69343.51,69137.98,0.30,,,
19,1504.25,1306.82,13.12,72047.56,71842.64,0.28,,,
20,1614.00,1416.71,12.22,74867.77,74664.92,0.27,,,
21,1731.50,1534.38,11.38,77887.48,77683.50,0.24,,,
22,1850.63,1653.16,10.67,80942.15,80745.32,0.23,,,
23,1971.75,1774.46,10.01,84055.05,83855.45,0.22,,,
24,2097.38,1899.81,9.42,87277.59,87063.42,0.23,,,
25,2226.38,2028.89,8.87,90591.39,90395.85,0.21,,,
26,2356.88,2159.69,8.37,93946.56,93730.98,0.21,,,
27,2491.63,2294.50,7.91,97407.78,97201.92,0.19,,,
28,2628.75,2431.20,7.52,100923.74,100717.51,0.19,,,
29,2770.75,2573.72,7.11,104577.06,104390.38,0.19,,,
30,2915.50,2718.05,6.77,108288.88,108096.43,0.19,,,
31,3067.75,2870.37,6.43,112199.72,112001.80,0.20,,,
32,3229.38,3031.68,6.12,116346.23,116147.24,0.18,,,
33,3393.38,3196.15,5.81,120563.95,120346.40,0.16,,,
34,3559.13,3361.46,5.55,124814.79,124626.90,0.15,,,
35,3727.75,3529.88,5.31,129142.56,128940.73,0.17,,,
36,3902.38,3705.08,5.06,133634.33,133438.08,0.15,,,
37,4080.50,3883.09,4.84,138207.27,138012.35,0.15,,,
38,4260.25,4062.19,4.65,142814.93,142639.26,0.14,,,
39,4441.63,4244.18,4.45,147480.69,147292.02,0.14,,,
40,4623.63,4426.46,4.26,152158.08,151964.40,0.14,,,
