基线温度,实际指数,预测指数,指数相对误差%,实际价格,预测价格,价格相对误差%
0,0,0.0,nan,38520.76250063224,38326.036686793086,0.5244832761220786
1,0,0.0,nan,38520.76250063224,38324.28891167201,0.5143399203361043
2,0,0.0,nan,38520.76250063224,38318.88570463425,0.5236268843010761
3,0,0.0,nan,38520.76250063224,38324.882052835055,0.5181560065807056
4,0,0.0,nan,38520.76250063224,38316.743567442405,0.5143428680668971
5,0,0.0,nan,38520.76250063224,38324.59627337895,0.505080979773409
6,0,0.0,nan,38520.76250063224,38324.81903884325,0.5046366963010085
7,0,0.0,nan,38520.76250063224,38325.47105978604,0.5144629205086404
8,0,0.0,nan,38520.76250063224,38325.493941950044,0.5235854324130873
9,0,0.0,nan,38520.76250063224,38320.9935204658,0.49919840960582773
10,0,0.0,nan,38520.76250063224,38322.88031820184,0.5091421323985323
11,0,0.0,nan,38520.76250063224,38318.019876767015,0.5034961168232432
12,0,0.0,nan,38520.76250063224,38323.97205279708,0.502156603836279
13,0,0.0,nan,38520.76250063224,38322.24917489394,0.5081079909207031
14,0.25,0.0,100.0,38520.76250063224,38322.99983482266,0.5169175697353756
15,2.25,0.0,100.0,38520.76250063224,38325.216103644874,0.5134419258312817
16,4.5,0.0,100.0,38520.76250063224,38322.03338186465,0.5143322685029927
17,10.375,0.0,100.0,38520.76250063224,38325.606842821755,0.5162864613906359
18,18.375,0.0,100.0,38520.76250063224,38323.55566234003,0.499293940789014
19,27.75,0.0,100.0,38520.76250063224,38329.92129146161,0.5102400673398622
20,38.375,0.0,100.0,38520.76250063224,38326.76771847388,0.5168431651032424
21,52.25,0.0,100.0,38520.76250063224,38322.77250217118,0.5101192981721958
22,67.625,0.0,100.0,38520.76250063224,38325.005407112316,0.5049871852834231
23,84.875,0.0,100.0,38520.76250063224,38324.457166150794,0.5264855317518302
24,109.25,0.0,100.0,38520.76250063224,38319.121227354226,0.5027387292373287
25,138.75,0.00016155455526781069,99.99988356428449,38520.76250063224,38322.584046686046,0.5058592623174873
26,171.875,0.506623411281543,99.70523728798165,38520.76250063224,38324.30790434062,0.5150836782685353
27,207.375,13.537828628792235,93.47181259612188,38789.288535574284,38584.39328323491,0.500587525048557
28,243.5,46.24624097250495,81.00770391272899,39673.12704524103,39478.47653931908,0.5010605967620152
29,285.625,88.33595614928267,69.07275058230805,40754.46539270205,40558.546894033745,0.4973437830062766
30,340.375,143.0551519673836,57.97131047597984,42160.07769045013,41959.202077775306,0.47305275451944295
31,408.0,210.6958270630753,48.358865915912915,43896.92333873308,43698.41865337052,0.4329126284436935
32,484.75,287.47022633090137,40.69721994205232,45868.21564614914,45665.30103052502,0.4227093272053284
33,566.25,369.0072240232465,34.83316132039796,47961.652135123455,47767.323614855086,0.4052536736800616
34,652.875,455.684268454429,30.203443468592152,50186.89443325932,49987.021961577186,0.3980841671773705
35,749.75,552.4701436342872,26.31275176601705,52673.54929274863,52479.15212329793,0.3679099946543807
36,861.5,664.1507050157288,22.907637258766243,55542.45448953444,55342.588560378535,0.3504719194511563
37,991.75,794.4511361528505,19.894011983579485,58887.98824862457,58688.11844722793,0.3393837601010974
38,1148.5,951.0892026999556,17.188576168919834,62911.970675955694,62716.81557232197,0.30073336714346866
39,1330.25,1132.8705185575886,14.837773459305492,67579.8051691871,67386.18338131918,0.2738012913012233
40,1514.25,1317.3462669715186,13.003383392998602,72311.12743315233,72101.61878965997,0.2630193730880359
